word,count
vice,51
envy,51
credit,51
neighbour,51
fourth,51
wash,51
dogs,51
francis,51
swore,51
mirth,51
meeting,51
ship,51
girl,51
tree,51
knees,51
sign,51
britain,51
doll,51
deaths,50
merit,50
early,50
slow,50
sighs,50
blush,50
guess,50
rank,50
appears,50
assure,50
trick,50
modesty,50
yare,50
touchd,50
bought,50
suddenly,50
streets,50
tide,50
throat,50
returnd,50
surrey,50
protector,50
alonso,50
breed,49
chide,49
meant,49
doom,49
tyrant,49
outward,49
winds,49
bestow,49
party,49
civil,49
jealous,49
taught,49
divine,49
learned,49
desperate,49
sleeping,49
ends,49
rule,49
gown,49
tailor,49
council,49
perchance,49
spake,49
deadly,49
intent,49
murther,49
elbow,49
reignier,49
constant,48
skill,48
number,48
plead,48
disgrace,48
smell,48
devise,48
sail,48
garments,48
gifts,48
success,48
estate,48
conduct,48
ignorant,48
draws,48
challenge,48
stuff,48
execution,48
henrys,48
don,48
bedford,48
alencon,48
constance,48
salerio,48
winter,47
flowers,47
sacred,47
sounds,47
strikes,47
cease,47
speaking,47
limbs,47
enjoy,47
loved,47
prize,47
fiery,47
main,47
contrary,47
thinking,47
bow,47
cup,47
perforce,47
sees,47
steward,47
fancy,47
forsooth,47
stranger,47
commission,47
falln,47
octavius,47
victory,47
dread,47
raise,47
satisfied,47
loose,47
hollow,47
degree,47
horatio,47
laertes,47
messala,47
vincentio,47
image,46
abuse,46
frame,46
seas,46
frown,46
dreams,46
brains,46
cost,46
slander,46
knowing,46
bark,46
blessing,46
burden,46
sides,46
dying,46
mariana,46
contempt,46
kisses,46
window,46
beaten,46
hie,46
kinsman,46
dares,46
reputation,46
oclock,46
quit,46
egypt,46
thinkst,46
thieves,46
shortly,46
phebe,46
flood,46
north,46
prisoners,46
thisby,46
fenton,46
brabantio,46
repair,45
burning,45
triumph,45
haply,45
woes,45
account,45
shine,45
policy,45
lust,45
ambition,45
attended,45
shot,45
bend,45
tarry,45
behalf,45
hat,45
playd,45
drownd,45
whore,45
empress,45
liest,45
ros,45
oberon,45
ratcliff,45
bassianus,45
waste,44
warm,44
tells,44
painter,44
fate,44
desert,44
weight,44
root,44
weeds,44
equal,44
unknown,44
fingers,44
bind,44
